"","cod_regsaude",".index",".value",".model_id",".model_desc",".key","tipo",".conf_lo",".conf_hi","arquivo_origem"
"161",16001,"2016-03-01",927,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"162",16001,"2005-01-01",725,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"163",16001,"2000-04-01",772,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"164",16001,"2003-04-01",797,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"165",16001,"2015-08-01",897,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"166",16001,"2005-04-01",777,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"167",16001,"2000-08-01",838,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"168",16001,"2005-02-01",650,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"169",16001,"2014-09-01",988,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"170",16001,"2012-10-01",940,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"171",16001,"2013-06-01",850,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"172",16001,"2004-09-01",814,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"173",16001,"2018-08-01",939,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"174",16001,"2017-05-01",883,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"175",16001,"2008-06-01",809,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"176",16001,"2017-03-01",898,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"177",16001,"2015-05-01",831,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"178",16001,"2017-04-01",804,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"179",16001,"2023-12-01",675,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"180",16001,"2013-10-01",1011,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"181",16001,"2011-07-01",925,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"182",16001,"2017-08-01",848,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"183",16001,"2019-06-01",759,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"184",16001,"2010-10-01",891,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"185",16001,"2011-01-01",822,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"186",16001,"2005-10-01",841,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"187",16001,"2010-11-01",817,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"188",16001,"2004-04-01",727,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"189",16001,"2006-10-01",861,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"190",16001,"2000-03-01",832,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"191",16001,"2011-11-01",872,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"192",16001,"2009-04-01",767,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
